video_id,publish_date,views,likes,dislikes,comments_disabled,ratings_disabled
id5412,2015-04-02T12:41:47.000Z,4802,2,4,FALSE,FALSE
id3347,2018-01-15T10:23:42.000Z,4674,2,0,FALSE,FALSE
id5412,2015-04-02T12:41:47.000Z,4880,2,4,FALSE,FALSE
id3347,2018-01-15T10:23:42.000Z,4744,2,0,FALSE,FALSE
id538,2015-09-21T21:46:40.000Z,2302,2,0,TRUE,FALSE
id538,2015-09-21T21:46:40.000Z,2397,2,0,TRUE,FALSE
id538,2015-09-21T21:46:40.000Z,2452,2,0,TRUE,FALSE
id5443,2018-01-31T17:32:26.000Z,11216,2,14,FALSE,FALSE
id5443,2018-01-31T17:32:26.000Z,12989,2,16,FALSE,FALSE
id579,2017-11-04T20:48:16.000Z,1827,3,0,FALSE,FALSE
id4390,2017-11-16T22:50:00.000Z,920,3,1,FALSE,FALSE
id4390,2017-11-16T22:50:00.000Z,999,3,1,FALSE,FALSE
id3328,2017-11-15T03:34:28.000Z,2382,3,0,FALSE,FALSE
id4390,2017-11-16T22:50:00.000Z,1032,3,1,FALSE,FALSE
id3328,2017-11-15T03:34:28.000Z,2885,3,0,FALSE,FALSE
,2017-09-15T16:28:32.000Z,1736,3,1,FALSE,FALSE
id10,2009-12-15T23:26:32.000Z,3148,3,0,FALSE,FALSE
id2024,2017-11-10T19:18:46.000Z,789,3,0,FALSE,FALSE
id2024,2017-11-10T19:18:46.000Z,917,3,1,FALSE,FALSE
id4876,2018-02-16T02:26:02.000Z,1143,3,15,FALSE,FALSE
id4876,2018-02-16T02:26:02.000Z,1319,3,15,FALSE,FALSE
id4876,2018-02-16T02:26:02.000Z,1427,3,15,FALSE,FALSE
id4876,2018-02-16T02:26:02.000Z,,3,15,FALSE,FALSE
id4876,2018-02-16T02:26:02.000Z,1464,3,15,FALSE,FALSE
id2132,2017-11-08T19:23:52.000Z,1338,4,0,TRUE,FALSE
id2132,2017-11-08T19:23:52.000Z,1431,4,0,TRUE,FALSE
id2619,2017-11-15T20:53:51.000Z,1975,4,0,FALSE,FALSE
,2017-11-16T15:02:36.000Z,12212,4,1,FALSE,FALSE
id2619,2017-11-15T20:53:51.000Z,2043,4,0,FALSE,FALSE
id2619,2017-11-15T20:53:51.000Z,2087,4,0,FALSE,FALSE
id4740,2017-12-18T17:10:48.000Z,2492,4,0,FALSE,FALSE
id3782,2017-09-15T16:28:32.000Z,2075,4,1,FALSE,FALSE
id10,2009-12-15T23:26:32.000Z,3170,4,0,FALSE,FALSE
id3681,2017-12-28T01:50:19.000Z,2612,4,2,FALSE,FALSE
id3681,2017-12-28T01:50:19.000Z,2841,4,3,FALSE,FALSE
id6225,2014-03-07T22:39:36.000Z,3333,4,3,FALSE,FALSE
id6225,2014-03-07T22:39:36.000Z,3456,4,4,FALSE,FALSE
id2598,2016-05-13T20:47:57.000Z,2860,4,3,FALSE,FALSE
id2598,2016-05-13T20:47:57.000Z,3215,4,4,FALSE,FALSE
id2598,2016-05-13T20:47:57.000Z,3312,4,4,FALSE,FALSE
id2598,2016-05-13T20:47:57.000Z,3362,4,4,FALSE,FALSE
id5058,2017-10-20T17:03:37.000Z,2025,4,0,FALSE,FALSE
id5058,2017-10-20T17:03:37.000Z,2050,4,0,FALSE,FALSE
id5058,2017-10-20T17:03:37.000Z,2078,4,0,FALSE,FALSE
id2001,2017-10-27T19:41:06.000Z,11807,5,0,FALSE,FALSE
id2001,2017-10-27T19:41:06.000Z,11849,5,0,FALSE,FALSE
id1682,2017-11-16T15:02:36.000Z,12953,5,2,FALSE,FALSE
id2001,2017-10-27T19:41:06.000Z,11887,5,0,FALSE,FALSE
id5475,2016-12-28T05:34:48.000Z,1480,5,0,FALSE,FALSE
id5494,2017-12-04T14:43:58.000Z,1425,5,0,FALSE,FALSE
id4740,2017-12-18T17:10:48.000Z,2717,5,0,FALSE,FALSE
id3782,2017-09-15T16:28:32.000Z,2331,5,1,FALSE,FALSE
