video_id,publish_date,views,likes,dislikes,comments_disabled
id718,2017-12-21,13488,29,2,False
id642,2018-01-09,6101,29,3,False
id3511,2018-01-16,2917,29,3,False
id3562,2018-01-21,9193,29,52,False
id5426,2017-03-21,12515,30,7,False
id4587,2018-01-02,8486,30,4,True
id2673,2018-01-03,8318,30,1,False
id880,2013-11-15,3255,30,1,False
id642,2018-01-09,6447,30,4,False
id880,2013-11-15,3319,30,1,False
id718,2017-12-21,17968,30,2,False
id5359,2018-01-20,3976,30,5,False
id1443,2018-01-25,229332,30,629,False
id1605,2018-01-31,9391,30,8,False
id1945,2017-12-04,1217,31,4,False
id4463,2017-12-06,1833,31,2,False
id2673,2018-01-03,8493,31,1,False
id5359,2018-01-20,4448,31,5,False
id5359,2018-01-20,4623,31,6,False
id5359,2018-01-20,4771,31,7,False
id5359,2018-01-20,4864,31,8,False
id1945,2017-12-04,1233,32,4,False
id4463,2017-12-06,1879,32,2,False
id1527,2017-11-14,5813,33,3,False
id5524,2009-03-10,15382,33,1,False
id883,2017-11-07,65409,33,9,True
id569,2017-12-21,2621,33,8,False
id3103,2018-01-16,3077,33,40,False
id5524,2009-03-10,15476,34,1,False
id883,2017-11-07,65683,34,10,True
id883,2017-11-07,65821,34,10,True
id1308,2017-12-19,11664,34,4,False
id569,2017-12-21,3080,34,8,False
id3968,2018-01-06,6826,34,11,False
id3658,2018-01-22,5604,34,56,False
id6302,2017-11-13,4569,35,18,False
id1676,2017-11-21,3892,35,14,False
id164,2017-11-27,1381,35,6,False
id569,2017-12-21,3309,35,8,False
id2848,2018-01-05,2439,35,1,False
id3506,2018-01-06,1970,35,10,True
id2848,2018-01-05,2577,35,2,False
id3506,2018-01-06,2084,35,11,True
id2848,2018-01-05,2629,35,2,False
id139,2018-01-15,10477,35,14,True
id139,2018-01-15,11736,35,14,True
id821,2018-01-22,2085,35,3,False
id5532,2017-11-14,12858,37,1,False
id4468,2017-12-06,12994,37,8,False
id190,2017-12-20,8999,37,24,False
id4054,2017-12-20,2861,37,3,False
id4885,2018-01-16,3133,37,2,False
id139,2018-01-15,12872,37,14,True
